,puro_spearman,pvalue,method
0,0.40404460776099005,0.0,RISE
1,0.09922124041008037,3.012888739257603e-147,RISE
2,-0.0064546135070965285,0.09355339542017825,RISE
3,0.22870816054023063,0.0,RISE
4,0.4019254716737551,0.0,RISE
5,0.34602096202976984,0.0,RISE
6,-0.0377492278761687,1.0111114604499713e-22,RISE
7,0.4310205885708694,0.0,RISE
8,0.2916358669335987,0.0,RISE
9,0.5595469912158682,0.0,RISE
10,0.17782891854122446,0.0,RISE
11,0.42385195116097996,0.0,RISE
12,0.25637627831805737,0.0,RISE
13,0.12901985942286281,2.1899846517955394e-248,RISE
14,0.33185834246110024,0.0,RISE
15,-0.003656271830664341,0.3421565268540556,RISE
16,-0.05099404928938309,4.108897704155641e-40,RISE
17,0.34628733721897637,0.0,RISE
18,0.49504886703579515,0.0,RISE
19,0.3835460143994272,0.0,RISE
20,0.20824308102634986,0.0,RISE
21,0.20393098500359186,0.0,RISE
22,0.41353718410763823,0.0,RISE
23,0.00035563536176245987,0.926384156891527,RISE
24,0.1757109827249404,0.0,RISE
25,0.4885995735356161,0.0,RISE
26,0.27452600774089714,0.0,RISE
27,0.2743664139979673,0.0,RISE
28,0.0005060060515919863,0.8954100015389036,RISE
29,0.4564816882675438,0.0,RISE
30,0.0012775446395612731,0.7399573531848528,RISE
31,-0.09211684102172296,4.162239852336968e-127,RISE
32,0.3661781270833079,0.0,RISE
33,0.2650903539364184,0.0,RISE
34,0.1588572769255506,0.0,RISE
35,-0.04073532006215839,3.4040267657903903e-26,RISE
36,0.15881657880306219,0.0,RISE
37,0.1557775765643544,0.0,RISE
38,0.47135319449161067,0.0,RISE
39,0.10621543587997984,1.4605411735918545e-168,RISE
40,0.02850867275807272,1.2808413861565567e-13,RISE
41,0.027917200547009285,4.0350305214045806e-13,RISE
42,0.009978272067671856,0.009529568265433682,RISE
43,0.10389028095554484,2.596434307795205e-161,RISE
44,0.09858509680437914,2.2096618525769433e-145,RISE
45,0.4530423943520387,0.0,RISE
46,0.3270236418812155,0.0,RISE
47,0.4323193458067177,0.0,RISE
48,0.19862736140474802,0.0,RISE
49,0.2681702680388466,0.0,RISE
50,0.01941267650002355,4.560348216706762e-07,RISE
