,puro_spearman,pvalue,method
0,0.4223739071416965,0.0,RISE
1,0.48475095645337724,0.0,RISE
2,0.2956658061581632,0.0,RISE
3,0.24095424702349688,0.0,RISE
4,0.243521519974961,0.0,RISE
5,0.3347081298269739,0.0,RISE
6,0.7191569193249564,0.0,RISE
7,0.3805690692142426,0.0,RISE
8,0.6853401184683615,0.0,RISE
9,0.45213428565300645,0.0,RISE
10,0.1605298139146576,0.0,RISE
11,0.4780963643351473,0.0,RISE
12,0.3291564264859095,0.0,RISE
13,0.3310614850882805,0.0,RISE
14,0.42807428961590566,0.0,RISE
15,0.4038018714512838,0.0,RISE
16,0.47996600974174786,0.0,RISE
17,0.6963223526486656,0.0,RISE
18,0.2514710997514603,0.0,RISE
19,0.4803248256172161,0.0,RISE
20,0.3472827608090193,0.0,RISE
21,0.08294797280694338,2.3630811778294517e-103,RISE
22,0.6725893632224218,0.0,RISE
23,0.13235334499770288,2.1728922880838618e-261,RISE
24,-0.13096815187347388,6.054375046952354e-256,RISE
25,0.353785547953378,0.0,RISE
26,0.3766189934054117,0.0,RISE
27,0.24720707744491982,0.0,RISE
28,0.4867397497103437,0.0,RISE
29,0.3761410560712525,0.0,RISE
30,0.40630038379562067,0.0,RISE
31,0.3561808243915006,0.0,RISE
32,-0.06581937443086407,1.0779659942960488e-65,RISE
33,0.10974169443043048,7.1952348887318515e-180,RISE
34,0.3065588871959778,0.0,RISE
35,0.3111814536020998,0.0,RISE
36,0.6006185359408561,0.0,RISE
37,0.5396806102976425,0.0,RISE
38,0.4269570505310538,0.0,RISE
39,0.4487746410301501,0.0,RISE
40,0.5486571551313708,0.0,RISE
41,0.29064541922280746,0.0,RISE
42,0.3444682840836876,0.0,RISE
43,0.3208158549430532,0.0,RISE
44,0.40263160572052503,0.0,RISE
45,0.8425716271432596,0.0,RISE
46,0.36959321270591805,0.0,RISE
47,0.08531460364999766,3.041246811409269e-109,RISE
48,0.44611570053387506,0.0,RISE
49,0.34146608920159033,0.0,RISE
50,0.11481216862837904,8.628107152597011e-197,RISE
51,0.2696667109290644,0.0,RISE
52,0.32145777922739127,0.0,RISE
53,0.4607292050247452,0.0,RISE
54,0.6299740601624634,0.0,RISE
55,0.15019497458181721,0.0,RISE
56,0.2665507369951007,0.0,RISE
57,0.5425583540836173,0.0,RISE
58,0.46130785111797074,0.0,RISE
59,0.5855293235180529,0.0,RISE
60,0.22374927254440224,0.0,RISE
61,-0.1459141551056417,0.0,RISE
62,0.49659783005134434,0.0,RISE
63,0.5509876191285338,0.0,RISE
64,0.6256636458816682,0.0,RISE
65,0.22982502023214396,0.0,RISE
66,0.08688814326958841,2.9778549016565187e-113,RISE
67,0.06512135814702975,2.413253906800207e-64,RISE
68,0.580580285970016,0.0,RISE
69,0.15523320882794567,0.0,RISE
70,0.6159947245299638,0.0,RISE
71,0.6541736417612992,0.0,RISE
72,0.2914114526001024,0.0,RISE
73,0.45212348526707885,0.0,RISE
74,0.4958140842765009,0.0,RISE
75,0.3413044483408614,0.0,RISE
76,-0.010929533711391356,0.004516894939667986,RISE
77,-0.16310059503882482,0.0,RISE
78,0.3396288385231336,0.0,RISE
79,0.5945843142930358,0.0,RISE
80,0.21213323083043786,0.0,RISE
81,0.6899611588961039,0.0,RISE
82,0.5586488225223336,0.0,RISE
83,0.06335837804757616,5.3470654773757475e-61,RISE
84,0.46050048988249837,0.0,RISE
85,0.2807121575621884,0.0,RISE
86,0.3144069675980803,0.0,RISE
87,0.5982668089642805,0.0,RISE
88,0.32810169282176177,0.0,RISE
89,0.3552061151847551,0.0,RISE
90,0.3811683669457059,0.0,RISE
91,-0.046100871949260804,4.335849112205157e-33,RISE
92,0.2049600833724518,0.0,RISE
93,0.3828562095235725,0.0,RISE
94,0.5165247111062853,0.0,RISE
95,0.29008330116342623,0.0,RISE
96,0.40725273808124024,0.0,RISE
97,0.6635995649202989,0.0,RISE
98,0.265090179165487,0.0,RISE
99,0.5052636355233425,0.0,RISE
100,1.0,0.0,Original
101,1.0,0.0,Original
102,0.9999999999999998,0.0,Original
103,1.0,0.0,Original
104,0.9999999999999998,0.0,Original
105,1.0,0.0,Original
106,1.0,0.0,Original
107,1.0,0.0,Original
108,1.0,0.0,Original
109,0.9999999999999998,0.0,Original
110,1.0,0.0,Original
111,0.9999999999999998,0.0,Original
112,1.0,0.0,Original
113,1.0,0.0,Original
114,1.0,0.0,Original
