,RISE,Input-Grad,GradCam,XRAI,IntegratedGradients,GuidedIG,LIME,Gradient,SmoothGrad,BlurIG
0,0.9137617349624634,0.9137617349624634,0.9137617349624634,0.9137617349624634,0.9137617349624634,0.9137617349624634,0.9137617349624634,0.9137617349624634,0.9137617349624634,0.9137617349624634
1,0.9138149273395538,0.9129668760299683,0.9146974790096283,0.913512516617775,0.9142466509342193,0.910128418803215,0.914932941198349,0.9136826133728028,0.8839456287026405,0.9137049102783203
2,0.9121692699193954,0.9112748169898987,0.92452102124691,0.9108353078365325,0.912793253660202,0.9104977703094482,0.910429813861847,0.9023036789894104,0.8766996796429157,0.9161044061183929
3,0.9109262222051621,0.9124393695592881,0.9248056125640869,0.9104727756977081,0.9133756065368652,0.914521187543869,0.9142137491703033,0.8938705998659134,0.8631357181072236,0.9098366189002991
4,0.9102055794000625,0.9127890872955322,0.9245500147342682,0.9103178530931473,0.9117425894737243,0.9107276463508606,0.9156955301761627,0.8860563603043556,0.8745015466213226,0.9088699173927307
5,0.9055563050508499,0.9167683130502701,0.9244655174016952,0.9076727879047394,0.9156302505731583,0.9109185236692429,0.913984727859497,0.8893828810751438,0.8593088096380234,0.9095403045415879
6,0.9044374698400497,0.9153960418701171,0.9239166450500488,0.9119384670257569,0.9155578637123107,0.9102711415290833,0.9135513186454773,0.8838668455183506,0.8663360902667046,0.9080737811326981
7,0.9046038484573364,0.9139281845092774,0.9228166925907135,0.9094728428125382,0.9148588961362839,0.9078397929668427,0.909803438782692,0.8735437162220479,0.8711643522977829,0.9088530141115189
8,0.901788781285286,0.9148758453130722,0.9174912667274475,0.9100174802541733,0.9190762615203858,0.9037194728851319,0.9089579582214355,0.8728812085092068,0.8781621247529984,0.9086994671821594
9,0.9021990519762039,0.916855748295784,0.9201669770479203,0.9119626432657242,0.9183918595314026,0.9053533631563186,0.9119821178913117,0.8734408807754517,0.8846845245361328,0.9061595940589905
10,0.9004927241802215,0.9206425702571869,0.9214190936088562,0.9101022493839264,0.9176906657218933,0.9039947462081909,0.9108286690711975,0.8694443148374558,0.8860464960336685,0.9059479731321335
11,0.8987093263864517,0.9119409942626953,0.9212975770235061,0.9116278392076492,0.9199298083782196,0.9035276579856872,0.9088289111852645,0.8650674172490835,0.8839941048622131,0.9063496160507202
12,0.9005031979084015,0.9135521638393402,0.923680350780487,0.9113977193832398,0.9198009294271469,0.9023892253637313,0.9040469801425934,0.8566106139868498,0.8891188192367554,0.9025682640075684
13,0.8977072012424469,0.9150410157442093,0.9215939348936081,0.9096071243286132,0.9174619835615158,0.9045146048069,0.9072561556100845,0.8575344740599394,0.8931548649072647,0.9006095188856125
14,0.8985351061820984,0.9121309101581574,0.9167876780033112,0.9113999778032302,0.916992056965828,0.9028882205486297,0.905768341422081,0.8538912352919579,0.8887779176235199,0.9011385679244995
15,0.8999349737167358,0.907420254945755,0.9190996748208999,0.9105816602706909,0.9131060808897018,0.8993308973312378,0.9021211326122284,0.8577577032148838,0.8887731105089187,0.9030501675605774
16,0.8963522601127625,0.9076577937602996,0.9232741403579712,0.9101735603809357,0.9149751436710357,0.899680943787098,0.9015809851884842,0.8572396705299616,0.8846512547135353,0.9020664590597153
17,0.8983500564098358,0.9081263256072998,0.9220201694965362,0.9107640880346298,0.9163842433691025,0.897590349316597,0.9005262917280197,0.8559131179004907,0.8891764530539512,0.8979440703988075
18,0.8959711414575576,0.9051419579982758,0.9256403732299805,0.9095147830247879,0.9178943359851837,0.8955035471916198,0.904547278881073,0.8675464852154255,0.8885601595044136,0.8987750592827797
19,0.8953429293632508,0.9090452998876571,0.9248670136928558,0.9125285494327545,0.9148892575502395,0.898325184583664,0.899594241976738,0.8637048690021039,0.8912010231614113,0.8974173519015313
20,0.8957166504859925,0.9092444026470184,0.9258097851276398,0.912026349902153,0.9119132214784622,0.8932759666442871,0.9005126249790192,0.8656280757486821,0.8918070596456528,0.8910379615426064
21,0.8952988362312317,0.9094291996955871,0.9233989131450653,0.9109336054325103,0.9093774193525315,0.8932882508635521,0.8993411523103714,0.8698096783459186,0.8873127600550652,0.8894953972101212
22,0.894946294426918,0.909960406422615,0.9258437645435333,0.9124490183591842,0.9112816947698593,0.8871859636902809,0.9018052768707275,0.8699123614281415,0.892774450480938,0.8864845594763756
23,0.8952044397592545,0.9094765818119049,0.9249127006530762,0.913232980966568,0.9127541375160217,0.8843413513898849,0.9026798182725906,0.872410456687212,0.8897654590010643,0.8826094773411751
24,0.8955034178495407,0.9119142472743988,0.9243311339616775,0.910459217429161,0.9143342190980911,0.883331453204155,0.9026526886224747,0.8748371800407767,0.8840960463881493,0.8831959131360054
25,0.8953933799266816,0.9102142840623856,0.9245067846775055,0.913860450387001,0.9119549709558487,0.8874533978104592,0.898090409040451,0.8744420547410846,0.8851274552941323,0.884352267831564
26,0.8946258878707886,0.909300411939621,0.9237287956476211,0.9179005593061447,0.9143557208776474,0.8845549097657204,0.9014308297634125,0.8691369165852666,0.8877279564738274,0.8832450011372566
27,0.8947714507579804,0.912283815741539,0.9276505708694458,0.9146394377946854,0.9166565859317779,0.8838224647939206,0.9006998527050019,0.8640028186142444,0.8863139280676842,0.8833021089434624
28,0.8930019235610962,0.9109362185001373,0.9164516168832779,0.9164333099126816,0.9154018843173981,0.8818704888224602,0.9013561975955963,0.8593788000568747,0.8861899131536484,0.8800996652245522
29,0.8933725124597549,0.9064822429418564,0.9130929970741272,0.9174743431806565,0.9151322343945503,0.8806116130948066,0.8995037305355073,0.8654288757964969,0.887213544845581,0.8817284443974495
30,0.8938577681779861,0.908682364821434,0.9129332768917083,0.9193480610847473,0.9180878913402557,0.8808648407459259,0.8993422228097916,0.8681392672657967,0.8906336188316345,0.8783841508626938
