,RISE,Input-Grad,GradCam,XRAI,IntegratedGradients,GuidedIG,LIME,Gradient,SmoothGrad,BlurIG
0,0.9877174919843674,0.9877174919843674,0.9877174919843674,0.9877174919843674,0.9877174919843674,0.9877174919843674,0.9877174919843674,0.9877174919843674,0.9877174919843674,0.9877174919843674
1,0.8232982570013518,0.8167463031969965,0.8613370974548161,0.7823870874068234,0.8277250217553228,0.851725600447171,0.8855755973563646,0.8413277383078821,0.8533479799784254,0.8159025083400775
2,0.739438446975517,0.7746107756704441,0.7817648016684688,0.7235323268147112,0.7319645364573808,0.7299299602891404,0.8336799285403685,0.7425528562627732,0.7297285820815886,0.7348215422529029
3,0.6889735403750091,0.6535177222210041,0.7481944092619233,0.6597524675739987,0.6656296968832612,0.6640970518982732,0.7598043411434628,0.6773839764144214,0.7053056068495426,0.6509507397486186
4,0.6166457450914823,0.5982849532808178,0.684275472156337,0.6187483892597174,0.5510934165940853,0.5949019635615105,0.7034389025156997,0.6289521276194137,0.6486249523765583,0.6039606233444647
5,0.6035814508284238,0.5207026073987072,0.6361737807574628,0.5905834564592806,0.5294693212031416,0.5716322128203338,0.6444619901163969,0.5879974750692054,0.5934026131263272,0.5577036612522807
6,0.5570942641295733,0.500270438114037,0.6192607327723704,0.5613089673318609,0.48268279659438124,0.5555407429202097,0.6011862712516449,0.5352427044335127,0.512134131176781,0.5416519945348773
7,0.5337562198488377,0.47366701592928023,0.5886862075562158,0.5323019361297338,0.43593173927049067,0.5359710683072808,0.5808019487146521,0.51138019142335,0.48644852085158846,0.4951685046479179
8,0.4801972427465898,0.44697640956675966,0.5708289163092263,0.4787900734968571,0.43069603016272595,0.5058542502627097,0.541526294547366,0.4630979180754457,0.4750501094167339,0.47444443943330045
9,0.47936592681837736,0.41731270412972665,0.5632770489326947,0.43375865415997394,0.42253859913063935,0.4639614616375184,0.49102436724933796,0.44260995458192154,0.46347317284682504,0.47025891576722645
10,0.4665851607145078,0.39177009792405443,0.5498565523064013,0.39665335239836624,0.37171194731839935,0.4448839228606448,0.45068111811171546,0.43561136974521103,0.45022008307278155,0.4455157613550182
11,0.4465223682861233,0.3740498551363999,0.5529063489043722,0.3695511898104087,0.3739567344309762,0.43744144817173947,0.44296037649975917,0.40566470750323785,0.43938695332893984,0.43941435028493286
12,0.4453076183088342,0.35792218284390404,0.5368088742420923,0.36317601560964247,0.3691656548617175,0.4182736477151047,0.443872384435781,0.3767082105383588,0.42254880102856984,0.42087384029699026
13,0.42191606262308595,0.3426826673769392,0.5539574866214093,0.3717074848146876,0.3552206433765241,0.4197890737489797,0.4541007368041028,0.35065549623611786,0.3886885440864717,0.38129736375296486
14,0.42206994865166053,0.3419062518121791,0.5515672041330617,0.36533150899362227,0.3531923282740172,0.40661883012449834,0.43953561258625995,0.33942375745957176,0.35331144353200217,0.39435293707821983
15,0.41417676499171646,0.3314858950674534,0.5192574624713143,0.36893107441137546,0.33803224512987073,0.39629219379625286,0.4225924339160338,0.3180151417292654,0.34955665359302657,0.38681454428937284
16,0.40790582947223814,0.34143813049886373,0.49972298004295224,0.354528661184595,0.3328266158164479,0.39091541182482614,0.4304285673440609,0.31433594896428985,0.35444958176392904,0.37827085303142666
17,0.3903029426718422,0.3399542265641503,0.486493110115548,0.3268912263773382,0.3388755985186435,0.3694709934608545,0.40847767797371487,0.310250187188467,0.34951675117757985,0.38241905119270087
18,0.3968255605784361,0.3240723361237906,0.48042209170974276,0.3010619723889977,0.3308769929711707,0.3842199690209236,0.4004171825671801,0.29702316209655694,0.3438618240829237,0.3848392861476168
19,0.37960007064925777,0.32122797247138807,0.481182848951903,0.2810089759156108,0.3294106875313446,0.38683272730588214,0.3694120818699594,0.29409758921479806,0.3356964426880586,0.3908054486685433
20,0.36949077732423574,0.3065390373999253,0.46790217996292993,0.28556012516841295,0.30768331739585847,0.36328690651047507,0.36614663652424495,0.29464040891863985,0.3371341529572965,0.37947494867723436
21,0.353567169042326,0.2941569403093308,0.4815585582003905,0.2898671184753766,0.2955804138747044,0.36525914288446076,0.36267498537767096,0.2825118833615852,0.31958327426676986,0.3624369966634549
22,0.35203586590945635,0.2900556215643883,0.4781005627729883,0.288070180756622,0.28234769962960854,0.37571112025296316,0.35627261183049996,0.28720658763471874,0.3144000847097959,0.36829982643015685
23,0.35125443619654106,0.27939865172840656,0.4670506247954199,0.29760376552003437,0.2961834300821647,0.34907283960536006,0.32700248327331793,0.29907049522109447,0.313941086428149,0.3567657565139234
24,0.3488038172503002,0.2711200014874339,0.45486319959868526,0.2948409979074495,0.29952292511006817,0.3401654529751977,0.31124012856394984,0.31999987798335494,0.3233608056028606,0.35384178832289764
25,0.34311795827879904,0.27105416139820593,0.45227099742638527,0.29542552374303344,0.29938868450000883,0.3310161101455742,0.3068883274172549,0.31445250813267195,0.32247011130675673,0.3484680692804977
26,0.3425400046391405,0.27565394485136496,0.46723460409179096,0.2915499304817058,0.2903674558905186,0.33375038909980503,0.3048501118965214,0.30209527899627575,0.3078950594027992,0.3512451819330454
27,0.34048591723018035,0.2785625470429659,0.45679449789371573,0.28653580298647285,0.29516394031699744,0.32032316894154067,0.29376133538084104,0.29342717356514186,0.2908306994551094,0.3369943987543229
28,0.3422070274878206,0.2810370413884812,0.46240607156869373,0.27019239408895374,0.3029811353306286,0.3122077709415316,0.29172088485618586,0.2925756983400788,0.2890660298871808,0.32384298978955484
